[8/20/22 01:06PM] Login. ip: 86.156.42.226, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/20/22 02:56PM] DEFAULT|2711,5728,0|Said: We can get the locs	
[8/20/22 02:57PM] DEFAULT|2711,5728,0|Said: We doing a starter zone atm	
[8/20/22 02:57PM] DEFAULT|2711,5728,0|Said: Ye but wont save	
[8/20/22 02:57PM] DEFAULT|2711,5728,0|Said: Want em to save :d	
[8/20/22 02:57PM] DEFAULT|2711,5728,0|Said: Ye idk what im doin for that part ull have to show me quiick	
[8/20/22 02:57PM] DEFAULT|2711,5728,0|Said: Ok fairs	
[8/20/22 02:58PM] DEFAULT|2711,5728,0|Said: Btw	
[8/20/22 02:58PM] DEFAULT|2711,5728,0|Said:  ::location	
[8/20/22 02:58PM] DEFAULT|2711,5728,0|Said: Nub	
[8/20/22 02:58PM] DEFAULT|2711,5728,0|Said: In dev console	
[8/20/22 02:58PM] DEFAULT|2711,5728,0|Said: Its ur mypos	
[8/20/22 02:58PM] DEFAULT|2711,5728,0|Said: :d	
[8/20/22 02:58PM] DEFAULT|2711,5728,0|Said: True ye	
[8/20/22 02:59PM] DEFAULT|2711,5728,0|Said: Once hes done this starter zone	
[8/20/22 02:59PM] DEFAULT|2711,5728,0|Said: We can um	
[8/20/22 02:59PM] DEFAULT|2711,5728,0|Said: Figure the npcs for it	
[8/20/22 02:59PM] DEFAULT|2711,5728,0|Said: And some starter item models	
[8/20/22 02:59PM] DEFAULT|2711,5728,0|Said: And then thats that part done pr emuch	
[8/20/22 02:59PM] DEFAULT|2711,5728,0|Said: Yea if we finish starter zone fully	
[8/20/22 03:00PM] DEFAULT|2711,5728,0|Said: Then thats the easy part done	
[8/20/22 03:00PM] DEFAULT|2711,5728,0|Said: Ah my rank is my game mode	
[8/20/22 03:00PM] DEFAULT|2711,5728,0|Said:  ::gamemode 4	
[8/20/22 03:00PM] DEFAULT|2711,5728,0|Said: I like the blood slayer concept	
[8/20/22 03:00PM] DEFAULT|2711,5728,0|Said: If we rename it etc	
[8/20/22 03:00PM] DEFAULT|2711,5728,0|Said: And make it better	
[8/20/22 03:02PM] Login. ip: 86.156.42.226, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/20/22 03:03PM] DEFAULT|2710,5725,0|Said: Shops south slayer north	
[8/20/22 03:34PM] Login. ip: 86.156.42.226, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/20/22 03:35PM] Login. ip: 86.156.42.226, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/20/22 03:39PM] Login. ip: 86.156.42.226, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/20/22 03:52PM] Login. ip: 86.156.42.226, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/20/22 03:53PM] Login. ip: 86.156.42.226, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/20/22 03:55PM] Player dropping item: Rune boots, amount: 1	
[8/20/22 03:55PM] Player dropping item: Rune boots, amount: 1	
[8/20/22 04:00PM] Login. ip: 86.156.42.226, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/20/22 04:05PM] Login. ip: 86.156.42.226, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/21/22 10:04PM] Login. ip: 86.156.42.226, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/21/22 10:05PM] Login. ip: 127.0.0.1, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/21/22 10:09PM] Adam received x1 Demonic Sword from Sonic!	
[8/21/22 10:23PM] Login. ip: 127.0.0.1, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/21/22 10:34PM] Login. ip: 127.0.0.1, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/21/22 10:36PM] Login. ip: 127.0.0.1, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/21/22 10:38PM] Login. ip: 127.0.0.1, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/21/22 10:43PM] Login. ip: 127.0.0.1, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/21/22 10:44PM] Login. ip: 127.0.0.1, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/21/22 10:45PM] Login. ip: 127.0.0.1, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/21/22 10:47PM] Login. ip: 127.0.0.1, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/21/22 10:49PM] Login. ip: 127.0.0.1, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/21/22 10:51PM] Login. ip: 127.0.0.1, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/21/22 10:52PM] Login. ip: 127.0.0.1, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/21/22 11:04PM] Login. ip: 127.0.0.1, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/21/22 11:15PM] Login. ip: 127.0.0.1, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/21/22 11:15PM] Login. ip: 127.0.0.1, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/21/22 11:17PM] Login. ip: 127.0.0.1, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/21/22 11:19PM] KALPHITE_QUEEN|3498,9507,0|Said: Object 3	
[8/21/22 11:27PM] Login. ip: 86.156.42.226, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/21/22 11:28PM] Login. ip: 86.156.42.226, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/21/22 11:29PM] Login. ip: 86.156.42.226, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/21/22 11:45PM] Login. ip: 86.156.42.226, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/21/22 11:52PM] Login. ip: 86.156.42.226, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/21/22 11:56PM] Login. ip: 86.156.42.226, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/21/22 11:56PM] Login. ip: 86.156.42.226, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/21/22 11:56PM] Login. ip: 86.156.42.226, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/21/22 11:57PM] Login. ip: 86.156.42.226, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/21/22 11:57PM] Login. ip: 86.156.42.226, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/21/22 11:57PM] Login. ip: 86.156.42.226, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/21/22 11:58PM] Login. ip: 86.156.42.226, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/21/22 11:59PM] Login. ip: 86.156.42.226, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/21/22 11:59PM] Login. ip: 86.156.42.226, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/22/22 12:01AM] Login. ip: 86.156.42.226, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/22/22 12:01AM] Login. ip: 86.156.42.226, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/22/22 12:03AM] Login. ip: 86.156.42.226, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/22/22 12:04AM] Login. ip: 86.156.42.226, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/22/22 12:05AM] Login. ip: 86.156.42.226, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/22/22 12:06AM] Login. ip: 86.156.42.226, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/22/22 12:17AM] Login. ip: 86.156.42.226, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/22/22 12:23AM] Login. ip: 86.156.42.226, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/22/22 12:24AM] Login. ip: 86.156.42.226, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/22/22 12:24AM] Emptied item (id:22055, amount:1) -- Pet WildyWyrm	
[8/22/22 12:24AM] Login. ip: 86.156.42.226, mac: 18-C0-4D-26-CC-66, uuid: 	
[8/22/22 12:24AM] DEFAULT|2463,5028,0|Said: Train	
